year_month,area_code,pm25,pm10,o3,no2,so2,co,aqi
201402,4203,-1,71,-1,14,22,-1,71
201402,4205,-1,102,-1,14,37,-1,102
201402,4206,-1,86,-1,17,19,-1,86
201402,4207,150,52,20,17,10,6,150
201402,4208,-1,51,-1,11,14,-1,51
201402,4209,206,-1,14,-1,-1,12,206
201402,4210,-1,135,-1,18,20,-1,135
201402,4211,151,50,20,9,11,6,151
201402,4212,150,51,19,10,13,6,150
201402,4213,-1,53,-1,8,14,-1,53
201402,4228,162,56,71,19,11,12,162
201402,429004,149,52,20,66,40,6,149
201402,429005,-1,66,-1,10,18,-1,66
201402,429006,-1,56,-1,12,6,-1,56
201402,429021,149,59,20,23,19,6,149
201402,4301,138,59,20,15,8,12,138
201402,4302,142,61,17,19,17,9,142
201402,4303,148,67,25,18,14,12,148
201402,4304,146,70,20,15,14,12,146
201402,4305,146,70,20,15,14,12,146
201402,4306,150,93,15,12,21,20,150
201402,4307,164,82,20,12,19,15,164
201402,4308,164,74,31,5,20,6,164
201402,4309,146,70,20,15,14,12,146
201402,4310,146,70,20,15,14,12,146
201402,4311,146,70,20,15,14,12,146
201402,4312,146,70,20,15,14,12,146
201402,4313,146,70,20,15,14,12,146
201402,4331,146,70,20,15,14,12,146
201402,4401,103,46,15,18,6,9,103
201402,4402,86,36,14,9,7,25,86
201402,4403,99,42,18,17,4,12,99
201402,4404,98,47,21,18,7,7,98
201402,4405,118,48,19,13,9,11,118
201402,4406,101,44,10,19,9,13,101
201402,4407,111,61,7,19,11,12,111
201402,4408,108,45,7,8,6,14,108
201402,4409,109,44,11,7,4,8,109
201402,4412,123,54,18,17,12,13,123
201402,4413,88,36,15,10,6,6,88
201402,4414,74,33,11,10,3,8,74
201402,4415,81,33,13,8,3,7,81
201402,4416,74,28,15,7,4,13,74
201402,4417,79,30,8,11,3,14,79
201402,4418,67,27,22,8,8,10,67
201402,4419,113,48,16,20,11,10,113
201402,4420,119,57,15,23,10,14,119
201402,4451,73,31,4,8,3,8,73
201402,4452,80,39,16,7,7,13,80
201402,4453,39,27,8,4,5,14,39
201402,4501,126,55,15,14,7,11,126
201402,4502,135,58,20,14,16,12,135
201402,4503,115,42,19,11,10,11,115
201402,4504,122,52,19,12,11,12,122
201402,4505,100,52,24,5,4,12,100
201402,4506,122,52,19,12,11,12,122
201402,4507,122,52,19,12,11,12,122
201402,4508,122,52,19,12,11,12,122
201402,4509,122,52,19,12,11,12,122
201402,4510,122,52,19,12,11,12,122
201402,4511,122,52,19,12,11,12,122
201402,4512,122,52,19,12,11,12,122
201402,4513,122,52,19,12,11,12,122
201402,4514,122,52,19,12,11,12,122
201402,4601,71,31,10,8,3,7,71
201402,4602,56,24,14,6,1,7,56
201402,469001,53,15,17,3,2,8,53
201402,469002,55,19,12,6,2,13,55
201402,469003,54,21,12,5,2,8,54
201402,469005,54,21,12,5,2,8,54
201402,469006,54,21,12,5,2,8,54
201402,469007,82,34,1,7,2,7,82
201402,469025,54,21,12,5,2,8,54
201402,469026,54,21,12,5,2,8,54
201402,469027,28,18,19,3,2,6,28
201402,469028,54,21,12,5,2,8,54
201402,469030,54,21,12,5,2,8,54
201402,469031,54,21,12,5,2,8,54
201402,469033,54,21,12,5,2,8,54
201402,469034,54,21,12,5,2,8,54
201402,469035,54,21,12,5,2,8,54
201402,469036,54,21,12,5,2,8,54
201402,500101,143,68,8,15,17,10,143
201402,500102,143,68,8,15,17,10,143
201402,500103,156,75,6,12,19,11,156
201402,500104,138,64,5,20,18,12,138
201402,500105,143,68,8,15,17,10,143
201402,500106,140,70,7,15,18,10,140
201402,500107,145,67,13,15,19,9,145
201402,500108,143,65,10,14,17,10,143
201402,500109,135,63,9,15,16,9,135
201402,500110,143,68,8,15,17,10,143
201402,500111,143,68,8,15,17,10,143
201402,500112,143,69,6,16,17,12,143
201402,500113,142,70,8,15,12,11,142
201402,500114,143,68,8,15,17,10,143
201402,500115,143,68,8,15,17,10,143
201402,500116,143,68,8,15,17,10,143
201402,500117,143,68,8,15,17,10,143
201402,500118,143,68,8,15,17,10,143
201402,500119,143,68,8,15,17,10,143
201402,500222,143,68,8,15,17,10,143
201402,500223,143,68,8,15,17,10,143
201402,500224,143,68,8,15,17,10,143
201402,500225,143,68,8,15,17,10,143
201402,500226,143,68,8,15,17,10,143
201402,500227,143,68,8,15,17,10,143
201402,500228,143,68,8,15,17,10,143
201402,500229,143,68,8,15,17,10,143
201402,500230,143,68,8,15,17,10,143
201402,500231,143,68,8,15,17,10,143
201402,500232,143,68,8,15,17,10,143
201402,500233,143,68,8,15,17,10,143
201402,500234,143,68,8,15,17,10,143
201402,500235,143,68,8,15,17,10,143
201402,500236,143,68,8,15,17,10,143
201402,500237,143,68,8,15,17,10,143
201402,500238,143,68,8,15,17,10,143
201402,500240,143,68,8,15,17,10,143
201402,500241,143,68,8,15,17,10,143
201402,500242,143,68,8,15,17,10,143
201402,500243,143,68,8,15,17,10,143
201402,5101,165,84,14,20,12,12,165
201402,5103,144,72,10,9,24,7,144
201402,5104,108,68,15,14,21,23,108
201402,5105,156,75,12,21,23,10,156
201402,5106,156,74,19,16,11,11,156
201402,5107,157,72,19,20,11,11,157
201402,5108,151,78,14,18,17,13,151
201402,5109,151,78,14,18,17,13,151
201402,5110,151,78,14,18,17,13,151
201402,5111,151,78,14,18,17,13,151
201402,5113,161,89,13,18,20,12,161
201402,5114,151,78,14,18,17,13,151
201402,5115,152,71,9,17,22,21,152
201402,5116,151,78,14,18,17,13,151
201402,5117,151,78,14,18,17,13,151
201402,5118,151,78,14,18,17,13,151
201402,5119,151,78,14,18,17,13,151
201402,5120,151,78,14,18,17,13,151
201402,5132,151,78,14,18,17,13,151
201402,5133,151,78,14,18,17,13,151
201402,5134,151,78,14,18,17,13,151
201402,5201,120,51,3,12,19,8,120
201402,5202,123,54,7,13,20,8,123
201402,5203,133,62,24,15,24,8,133
201402,5204,123,54,7,13,20,8,123
201402,5222,123,54,7,13,20,8,123
201402,5223,123,54,7,13,20,8,123
201402,5224,123,54,7,13,20,8,123
201402,5226,123,54,7,13,20,8,123
201402,5227,123,54,7,13,20,8,123
201402,5301,93,51,21,15,11,8,93
201402,5303,108,54,24,20,16,16,108
201402,5304,77,38,29,7,11,12,77
201402,5305,94,50,23,15,12,11,94
201402,5306,94,50,23,15,12,11,94
201402,5307,94,50,23,15,12,11,94
201402,5308,94,50,23,15,12,11,94
201402,5309,94,50,23,15,12,11,94
201402,5323,94,50,23,15,12,11,94
201402,5325,94,50,23,15,12,11,94
201402,5326,94,50,23,15,12,11,94
201402,5328,94,50,23,15,12,11,94
